Review,date,Location,cleaned_review,Sentiment Score,Sentiment Label
"Lobby looks amazing! Parking is not included with your booking, so you have to pay to park on a place that you are actually visiting and staying the night. I booked a 2 double bed room and my room had 2 full beds instead. The facility was clean, outdoors, gardens, pool were very clean, but the room didn't match the rest of the hotel. I was definitely expecting more. I won't be staying at this hotel again. You get more for less on other hotels around the area.      ",12/08/2019,,lobbi look amaz park includ book pay park place actual visit stay night book 2 doubl bed room room 2 full bed instead facil clean outdoor garden pool clean room didnt match rest hotel definit expect wont stay hotel get less hotel around area,0.6124,Positive
"Everything was great. When we walked into the lobby, it smelled very nice.      ",12/08/2019,Corinth,everyth great walk lobbi smell nice,0.7845,Positive
There was no complementary breakfast but it was close to everything and Disney Springs was remarkable      ,12/08/2019,New Jersey,complementari breakfast close everyth disney spring remark,0.0,Neutral
"Rooms are small. Rooms with king sized bed - one side of bed is up against the wall and there is barely enough room to walk between the end of the bed and the desk/television on the opposite wall. Rooms with double beds offer a little more room, but it is still cramped. However, rooms are clean with natural light from floor to ceiling windows.      ",12/08/2019,,room small room king size bed one side bed wall bare enough room walk end bed desktelevis opposit wall room doubl bed offer littl room still cramp howev room clean natur light floor ceil window,0.2263,Positive
"A very well managed property beating big five star hotels in every aspects including staff friendliness, cleanness, convenience (free self parking!! in Anaheim), close distance to convention center and Disney parks.      ",12/08/2019,,well manag properti beat big five star hotel everi aspect includ staff friendli clean conveni free self park anaheim close distanc convent center disney park,0.7964,Positive
"Very courteous, and the rooms were very nice. The only issue was that in the business center they time the computers out at 15 minutes per session. That should be more like 30 minutes.      ",12/08/2019,,courteou room nice issu busi center time comput 15 minut per session like 30 minut,0.6486,Positive
Great location. Two pools were nice. Staff was friendly.      ,12/08/2019,Venice,great locat two pool nice staff friendli,0.7845,Positive
"This place is a reasonable food dessert. Breakfast and lunch are $30 each and supper is $60. I noticed several parents waiting for pizza delivery. They charge for parking, so people are stuck there. The first night, I ate beef jerky and nuts from the gift shop.  There were stinky fruits all over the pool areas. They just tried to blow them under the bushes. STINKY! I needed my safe opened, and it took a long time to get them to do it. Most of the room was clean except mold in the shower. It rained a lot and there were NO inside activities. How about yoga or Zumba in the rainy season? I definitely Won't be back.      ",11/08/2019,Chicago,place reason food dessert breakfast lunch 30 supper 60 notic sever parent wait pizza deliveri charg park peopl stuck first night ate beef jerki nut gift shop stinki fruit pool area tri blow bush stinki need safe open took long time get room clean except mold shower rain lot insid activ yoga zumba raini season definit wont back,0.7579,Positive
"An old building seem like its used to an office building, very small room the ugly shower area super over priced!? With lots of hidden fees like just for extra 2 hours late checkout they charge $50.00 easily they can double your rate, the slow elevator we change our hotel to residences inn in Manhattan compared to the New Yorker it was not 5 star but also 6 star ⭐️ stay away from the New Yorker !      ",11/08/2019,,old build seem like use offic build small room ugli shower area super price lot hidden fee like extra 2 hour late checkout charg 5000 easili doubl rate slow elev chang hotel resid inn manhattan compar new yorker 5 star also 6 star ️ stay away new yorker,0.836,Positive
Super convenient location! Right next to Penn Station      ,11/08/2019,"High Springs, FL",super conveni locat right next penn station,0.5994,Positive
"Reasonable price hotel. Tiny room is OK considering it's location, a few minutes to Penn station and walk distance to Broadway theaters. Fitness facilities were better than expected. Hotel staff were not friendly, lobby staff especially.      ",11/08/2019,Tokyo,reason price hotel tini room ok consid locat minut penn station walk distanc broadway theater fit facil better expect hotel staff friendli lobbi staff especi,0.765,Positive
"Art Deco beauty, perfect location, helpful and friendly staff      ",11/08/2019,,art deco beauti perfect locat help friendli staff,0.7506,Positive
The location is excellent. The hotel staff is friendly and helpful. Although the hotel is older it is well kept. The only thing is the water changes temperature when showering and elevators take a while to come down. It is understandable though being that it is a busy hotel.      ,11/08/2019,,locat excel hotel staff friendli help although hotel older well kept thing water chang temperatur shower elev take come understand though busi hotel,0.7783,Positive
"The entire staff was so friendly and helpful, and the location was perfect!      ",11/08/2019,Mooresville NC,entir staff friendli help locat perfect,0.7506,Positive
Overall good deal and not a bad area...no pool though :/ work out room was too warm and no towels in there. And the breakfast was mediocre. Not enough options.      ,11/08/2019,,overal good deal bad areano pool though work room warm towel breakfast mediocr enough option,0.0772,Positive
"The front desk staff, and manager, were super friendly and accommodating. Our room wasn’t ready yet (after the 3pm check-in time), so we were upgraded to a King Suite at no extra charge. The hotel is within walking distance to Disneyland/DCA. The room was very nice (clean and well-kept): newer furnishings and linens, no stains in the carpets, the A/C was excellent, etc. We would gladly stay here again!      ",11/08/2019,"Fresno, CA",front desk staff manag super friendli accommod room ’ readi yet 3pm checkin time upgrad king suit extra charg hotel within walk distanc disneylanddca room nice clean wellkept newer furnish linen stain carpet ac excel etc would gladli stay,0.9081,Positive
Loved the swimming pools. Good location for SeaWorld and entertainment.       ,11/08/2019,Pittsburgh,love swim pool good locat seaworld entertain,0.8555,Positive
Ok place.  The room was decent . The location was great      ,11/08/2019,,ok place room decent locat great,0.743,Positive
"This is a pleasant hotel, I was a little disappointed that I had to go to the restaurant and order take out for pool side dining. Not a bad thing but I did not expect that - I had to order the food, then go back 10 mins later. When I good a hotel with a pool and restaurant in the photos I do expect that little bit of service. They also charged $100 incidental charge. Was not expected it to be deducted and then have to wait 3 - 5 days for it to be returned to my account. Not cool!      ",10/08/2019,Santa Cruz.,pleasant hotel littl disappoint go restaur order take pool side dine bad thing expect order food go back 10 min later good hotel pool restaur photo expect littl bit servic also charg 100 incident charg expect deduct wait 3 5 day return account cool,0.3182,Positive
Checked in at night. Light switch not easy to find. Multiple lights not working in room.      ,10/08/2019,,check night light switch easi find multipl light work room,0.0,Neutral
Old property but good service and clean at all moments      ,10/08/2019,,old properti good servic clean moment,0.6808,Positive
"Shower appears to have mold on ceiling, wallpapering is peeling off wall. Sheets were stained. I can show pictures of wallpaper and mold problems if required. For the price i would expect cleaner facilities.      ",10/08/2019,,shower appear mold ceil wallpap peel wall sheet stain show pictur wallpap mold problem requir price would expect cleaner facil,-0.25,Negative
"The hotel set as 4.5* yet the service is low 1 man in the loby room, suits ledt without monitoring,  Room service was poor  The hotel is old and maintained poorly      ",10/08/2019,,hotel set 45 yet servic low 1 man lobi room suit ledt without monitor room servic poor hotel old maintain poorli,-0.6369,Negative
All good i feel at home on this place even we walk lil bit far but all are good      ,09/08/2019,,good feel home place even walk lil bit far good,0.7003,Positive
Likes: The bed was very comfortable.   Dislikes:  Staff were not very friendly. The breakfast was not very good.  Our bed runner had some marks of burning with something like a cigarette.      ,09/08/2019,,like bed comfort dislik staff friendli breakfast good bed runner mark burn someth like cigarett,0.8555,Positive
Great location for our stay. The tick tock restaurant was okay. Thank you.      ,09/08/2019,,great locat stay tick tock restaur okay thank,0.8176,Positive
Queen size bed felt more like a full. Otherwise quite pleasant.      ,09/08/2019,,queen size bed felt like full otherwis quit pleasant,0.7003,Positive
Need more staff at the chk in. My wait while my family stood in car was very underwhelming. Took entirely to long.      ,09/08/2019,New York,need staff chk wait famili stood car underwhelm took entir long,0.0,Neutral
"1st off - I knew right away I wouldn’t be staying at this property again. Right after check in, we go to self park, only to find out that we weren’t given a code for the gate. Go up to Valet, get the code, go get in our room. Mind you, self parking and our room were on COMPLETELY opposite sides of the hotel property. Next, I realize I was charged for parking and forgot to mention that we had a handicap tag. I call the front desk, explain, and get told that I would get a refund to the card I put on file. Sounds great, problem solved. Next day, hadn’t received any notification for the refund and ALSO got a notice on our car that it was going to get towed because I didn’t have a parking tag on the dash.....when I wasn’t given anything by the front desk. I go talk to the front desk after our morning at the park & they say that they do charge for handicap and end up giving me a parking tag. Overall, it was not worth even the small cost of the stay. If staying at this property for Disney benefits- I suggest looking into a Disney Value resort. The inside of the hotel room just in general felt damp. Comforters on the beds were both damp. Friendliness of the staff was much less than acceptable, and I did not enjoy getting wrong information and a threat to tow my vehicle when it was their mistake.      ",09/08/2019,Panama City,1st knew right away ’ stay properti right check go self park find ’ given code gate go valet get code go get room mind self park room complet opposit side hotel properti next realiz charg park forgot mention handicap tag call front desk explain get told would get refund card put file sound great problem solv next day ’ receiv notif refund also got notic car go get tow ’ park tag dashwhen ’ given anyth front desk go talk front desk morn park say charg handicap end give park tag overal worth even small cost stay stay properti disney benefit suggest look disney valu resort insid hotel room gener felt damp comfort bed damp friendli staff much less accept enjoy get wrong inform threat tow vehicl mistak,0.76,Positive
"I stayed on a groumd floor room near the pool and have to say as a hotel with the word Disney associated this is the most disappointing hotel i stayed in orlando. The room smelled musty, the AC was loud and frequently went on and off, almost no sound proofing between the door and outside so heard every child or pool activity. Overall the room I'd say was nothing more then a new paint job.      ",09/08/2019,,stay groumd floor room near pool say hotel word disney associ disappoint hotel stay orlando room smell musti ac loud frequent went almost sound proof door outsid heard everi child pool activ overal room id say noth new paint job,-0.4019,Negative
The staff was amazing at check in fast check in very accommodating      ,09/08/2019,,staff amaz check fast check accommod,0.0,Neutral
"The room was not clean and had distinctive unpleasant smell, spider web in the corners.      ",09/08/2019,,room clean distinct unpleas smell spider web corner,0.4019,Positive
"Room is decorated nicely. Comfy bed. Check I was fine, but more than one person working would of made it great.      ",09/08/2019,,room decor nice comfi bed check fine one person work would made great,0.8271,Positive
It was clean and staff was friendly and professional.      ,09/08/2019,,clean staff friendli profession,0.4019,Positive
"The property is in a nice neighborhood with restaurants, retail shopping and easy access to public transportation. The facility was only about twenty minutes from LaGuardia airport which was convenient after a long day of travel. The hotel was clean and check in was easy with the staff. They ran out of room card so we only had one during our stay which was fine because we were together coming and going. They did tell us to check back in the morning after our check in but we didn’t check back.   We had a king size bed in our room which was very comfortable. The bathroom was small as you had to wedge yourself in the corner to shut or open the door but the shower was nice and the sink area as well. The mirror also lit up without the main light as well which was a nice feature.   Nice flat screen tv mounted on the wall and a wardrobe provided because there wasn’t a closet. We made use of a corner in the room for our large luggage and had plenty of cubby holes for clothing and shoes.   Breakfast was also provided every morning which was a great way to start the day not having to worry about food for a good part of the day. The only negative was that it was the same foods everyday in a buffet style.   Overall for the price, room features, neighborhood location and breakfast I would stay here again. I really liked that there wasn’t carpet on the floor either.      ",09/08/2019,,properti nice neighborhood restaur retail shop easi access public transport facil twenti minut laguardia airport conveni long day travel hotel clean check easi staff ran room card one stay fine togeth come go tell us check back morn check ’ check back king size bed room comfort bathroom small wedg corner shut open door shower nice sink area well mirror also lit without main light well nice featur nice flat screen tv mount wall wardrob provid ’ closet made use corner room larg luggag plenti cubbi hole cloth shoe breakfast also provid everi morn great way start day worri food good part day neg food everyday buffet style overal price room featur neighborhood locat breakfast would stay realli like ’ carpet floor either,0.9816,Positive
Its location to the atyractions was excellent but could have done with more shuttle bus times. Staff were extremely helpful. Food was good but breakfast could have had more variety. Generally a very good stay      ,09/08/2019,,locat atyract excel could done shuttl bu time staff extrem help food good breakfast could varieti gener good stay,0.8885,Positive
"Everything was Excellent!!! The room was great, the staff was excellent and all the amenities were perfect. Thanks to everyone one for making our stay enjoyable and fun.      ",09/08/2019,,everyth excel room great staff excel amen perfect thank everyon one make stay enjoy fun,0.9712,Positive
"Everything looked great. Parking was bad only because they had big event in the conference area. Once the event was over, there was plenty of parking      ",09/08/2019,Ft. Lauderdale,everyth look great park bad big event confer area event plenti park,0.1531,Positive
"I liked the free shuttle from and to the airport, i liked being close to the airport. We loved the swimming pool and having the Bamboo Lounge attached to the hotel.      ",08/08/2019,,like free shuttl airport like close airport love swim pool bamboo loung attach hotel,0.91,Positive
The hotel is very nice and the staff is professional and very pleasant and accommodating. The room is older but it was clean. It would have been better if there was at least one shelf in the bathroom. A coffee maker in the room would also have been nice. The location is excellent for attending events at Madison Square Garden and a short walk from Port Authority if arriving by bus.      ,08/08/2019,,hotel nice staff profession pleasant accommod room older clean would better least one shelf bathroom coffe maker room would also nice locat excel attend event madison squar garden short walk port author arriv bu,0.9477,Positive
Hotel staff was very curteous. Lobby was very sleek and modern. Room was nice      ,08/08/2019,,hotel staff curteou lobbi sleek modern room nice,0.4215,Positive
I enjoyed my stay very much. I was able to check in early and that made it very convenient.      ,07/08/2019,,enjoy stay much abl check earli made conveni,0.4939,Positive
Amazing place! Gorgeous facility and clean pools. Will come back again.      ,07/08/2019,,amaz place gorgeou facil clean pool come back,0.4019,Positive
This property was amazing! It has so many great things to do for kids. Perfect place for people with kids or no kids.      ,07/08/2019,Chicago,properti amaz mani great thing kid perfect place peopl kid kid,0.8316,Positive
"It was really comfortable! I traveled to NY for the first time by myself. However, I'm glad to select this hotel because they are very kind, and it is easy for foreigners to understand what they said.      ",07/08/2019,,realli comfort travel ny first time howev im glad select hotel kind easi foreign understand said,0.836,Positive
Great location. Food at tic toc was excellent. Staff friendly and very accommodating.      ,07/08/2019,Shreveport,great locat food tic toc excel staff friendli accommod,0.7964,Positive
Wi-Fi is so slow，and room is very old 网贼慢，房间很老 ....      ,07/08/2019,,wifi slow，and room old 网贼慢，房间很老,0.0,Neutral
"Picked this hotel based off price, rating, and distance from JFK airport. The room had limited lighting so it was hard getting ready in the morning. Also no microwave. Overall, I was pleased with the hotel and all the shops/restaurants around.      ",07/08/2019,,pick hotel base price rate distanc jfk airport room limit light hard get readi morn also microwav overal pleas hotel shopsrestaur around,-0.1027,Negative
"No fridge or microwave in room. Parking was $20 per night, ridiculous, the property was not in a congested area so it was just straight gouging.      ",07/08/2019,Oak Grove,fridg microwav room park 20 per night ridicul properti congest area straight goug,0.2263,Positive
The front desk are not nice at all and they never answer the phone! Property is so far from the lobby!!      ,07/08/2019,WPB,front desk nice never answer phone properti far lobbi,0.4215,Positive
Huge property with lots of exploring. Ideal for large families. Beautiful.      ,06/08/2019,,huge properti lot explor ideal larg famili beauti,0.6908,Positive
The room cleaning better under the bed I found socks and big bottles water      ,06/08/2019,,room clean better bed found sock big bottl water,0.6808,Positive
"Very central, close to Madison squaer Garden and Penn Station. Rooms small but very clean, (minor issue)Hallways and lobby on the floors are dated. Staff helpful and polite      ",06/08/2019,Sydney Australia,central close madison squaer garden penn station room small clean minor issuehallway lobbi floor date staff help polit,0.6597,Positive
"nice place to stay - easy access to everything, close to the subway      ",06/08/2019,,nice place stay easi access everyth close subway,0.4215,Positive
"The lobby area was nice, and so was the pool. The check in staff could be a little more friendlier, doesn’t hurt to speak 1st! The pool concession was slow & the drinks were horrible especially for the price!      ",06/08/2019,,lobbi area nice pool check staff could littl friendlier ’ hurt speak 1st pool concess slow drink horribl especi price,0.34,Positive
Liked the location. Convenience store and bar prices were high      ,06/08/2019,Cape Coral,like locat conveni store bar price high,0.3612,Positive
Check in slow. Room smelt of cigarettes. Staff were polite and moved us but process was slow.      ,06/08/2019,,check slow room smelt cigarett staff polit move us process slow,0.0,Neutral
